Identificador,Módulo,Categoría,Clave de aprendizaje esperado vinculado,Aprendizaje esperado,Tema,Nombre del recurso,Palabras clave,Enlace de RED,Tipo de Recurso,Autoría,"Referencia en Formato APA o 
Manual de citas y referencias de Prepa en Línea-SEP basado en estilo APA"
M02R140_V,M02,Semana 1,AE-COM-019-PE14,Reactiva aprendizajes previos de Educación Secundaria respecto al uso de las clases de palabras y las muestra en algún texto.,Gramática,Categorías gramaticales de las clases de palabras,"Gramática, palabras, redacción, distribución de clase de palabras",https://drive.google.com/file/d/1PxkBlRj2UOPmwJudKA2gugmw-pADXKfd/view?usp=share_link,Infografía,Propia,"Rodríguez Adriana. (2023, 26 de abril). Categorías gramaticales de las clases de palabras [Infografía]. https://drive.google.com/file/d/1PxkBlRj2UOPmwJudKA2gugmw-pADXKfd/view?usp=share_link"
M02R141_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,Proyecto de vida,"Proyecto de vida, desarrollo, motivación",https://unibetas.com/proyecto-de-vida,Página de consulta o informativa,Ajena,"Unibetas. (2022, 08 de marzo). Proyecto de vida, ¿Cómo hacer un plan de vida? Definición y pasos. https://unibetas.com/proyecto-de-vida (consultado el 11 de noviembre 2023)"
M02R142_V,M02,Semana 1,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Comunicación oral y escrita,El proceso de la comunicación oral y escrita,"Comunicación, mensaje, oral, escrita",https://youtu.be/1t-Kd40-U7Q,Video,Ajena,"Centro de Investigación y Servicios educativos. (2019, 14 de mayo). El proceso de la comunicación oral y escrita [Video]. YouTube. https://youtu.be/1t-Kd40-U7Q (consultado el 11 de noviembre de 2023)"
M02R143_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,Construcción del plan de vida,"Planificación, crecimiento, metas",https://uapa.cuaieed.unam.mx/sites/default/files/minisite/static/88dbaa9b-53b4-42e3-9242-bfaa6a9b9c13/plan%20de%20vida/index.html,Página de consulta o informativa,Ajena,"Uribe, D. G. y López, F. (2018). Construcción del plan de vida. Unidades de Apoyo para el Aprendizaje. CUAIEED/Facultad de Medicina-UNAM. https://uapa.cuaieed.unam.mx/sites/default/files/minisite/static/88dbaa9b-53b4-42e3-9242-bfaa6a9b9c13/plan%20de%20vida/index.html"
M02R144_V,M02,Semana 1,AE-COM-028-PE14,Reactiva aprendizajes de Educación Secundaria respecto a la elaboración de relatos.,Textos literarios,Historia oral: historias de vida,"Redacción, autobiografía, relato, proyecto, metas, diálogo interactivo, relato",https://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0186-03482016000200269,Artículo o libro,Ajena,"Toussaint, Mónica. (2016). Graciela de Garay (coord.), Cuéntame tu vida. Historia oral: historias de vida, México, Instituto Mora, 2013, 78 pp.. Secuencia, (95), 269-273. https://doi.org/10.18234/secuencia.v0i95.1386"
M02R145_V,M02,Semana 1,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Oralidad,El rescate de la oralidad como fuente del conocimiento,"Comunicación, oralidad, reflexiones teóricas, cultura general",http://scielo.sld.cu/scielo.php?script=sci_abstract&pid=S1990-86442019000400166,Artículo o libro,Ajena,"Utrera Alonso, Marianela, Consuegra Cheng, María Mercedes, & Lóriga Socorro, Jiosbel Jesús. (2019). El rescate de la oralidad como fuente del conocimiento. Conrado, 15(69), 166-170. Epub 02 de septiembre de 2019. Recuperado en 10 de noviembre de 2023, de http://scielo.sld.cu/scielo.php?script=sci_arttext&pid=S1990-86442019000400166&lng=es&tlng=es."
M02R146_V,M02,Semana 1,AE-COM-021-PE14,"Utiliza sinónimos, antónimos y maneja adecuadamente la polisemia de las palabras.",Reglas ortográficas,Los antónimos,"Escritura, gramática, palabras, significados opuestos",https://youtu.be/yF1M5AuwU44,Video,Ajena,"Te lo explico. (2020, 19 de junio). Los antónimos [video]. YouTube. https://youtu.be/yF1M5AuwU44"
M02R147_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,¿Qué es un proyecto de vida y cómo trabajarlo con los estudiantes?,"Metas, proyecto de vida, planificación, plan personal, objetivos a alcanzar",https://www.youtube.com/watch?v=YUszf4KSUjk,Video,Ajena,"Compartir Palabra Maestra. (2021, 20 de abril). ¿Qué es un proyecto de vida y cómo trabajarlo con los estudiantes? [video]. Youtube. https://www.youtube.com/watch?v=YUszf4KSUjk"
M02R148_V,M02,Semana 1,PENDIENTE,Elige alternativas y cursos de acción con base en criterios sustentados para comenzar la elaboración de su proyecto de vida.,Proceso de realización personal,¿Qué es un proyecto de vida?,"Metas, proyecto de vida, planificación, plan personal, objetivos a alcanzar",https://blogs.upn.edu.pe/estudios-generales/2021/09/22/que-es-un-proyecto-de-vida,Página de consulta o informativa,Ajena,"Universidad Privada del Norte. (2021, 22 de septiembre). ¿Qué es un proyecto de vida?. Recuperado el 13 de noviembre de 2023: https://blogs.upn.edu.pe/estudios-generales/2021/09/22/que-es-un-proyecto-de-vida"
M02R152_V,M02,Semana 1,AE-COM-026-PE14,Emite y fundamenta por escrito una opinión original en la que asocia los datos e ideas de textos leídos.,Proceso de escritura,Trucos para comenzar a escribir una historia,"Escritura creativa, escribir, redacción",https://www.literaturbia.com/2016/06/06/trucos-comenzar-a-escribir-una-historia/,Página de consulta o informativa,Ajena,"Núñez-Torrón, A. (2016, 6 junio). Trucos para comenzar a escribir una historia. Literaturbia. Recuperado 13 de noviembre de 2023, de https://www.literaturbia.com/2016/06/06/trucos-comenzar-a-escribir-una-historia/"
M02R153_V,M02,Semana 1,AE-COM-026-PE14,Emite y fundamenta por escrito una opinión original en la que asocia los datos e ideas de textos leídos.,Proceso de escritura,Aprende a redactar,"Redacción, texto, expresión",https://escholarium.educarex.es/useruploads/r/c/137061/scorm_imported/65339846876475187951/aprende_a_redactar.html,Página de consulta o informativa,Ajena,"Iglesias José (s.f.). Aprende a redactar. Recuperado 13 de noviembre de 2023, de https://escholarium.educarex.es/useruploads/r/c/137061/scorm_imported/65339846876475187951/aprende_a_redactar.html"
M02R167_V,M02,Básico,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Reglas ortográficas,Reglas gramaticales y ortográficas,"uso de b, v, s, z, morfología, ejercicio",https://www.youtube.com/watch?v=J_V6jdxLqME,Video,Ajena,"Hernández, O. (2020, 4 de julio). Reglas gramaticales y ortográficas “Ejercicios de morfología y ortográficos“ [Video]. YouTube. Recuperado el 9 de noviembre del 2023 https://www.youtube.com/watch?v=J_V6jdxLqME"
M02R168_V,M02,Básico,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Reglas ortográficas,Tipos de acentos,"sílaba tónica, entonación, sílabas, prosódico, ortográfico, diacrítico",https://www.youtube.com/watch?v=enrFivKjH7s,Video,Ajena,"UPB Bolivia. (2020, 25 de agosto). Tipos de acento [Video]. YouTube. Recuperado el 9 de noviembre del 2023 en: https://www.youtube.com/watch?v=enrFivKjH7s"
M02R169_V,M02,Básico,AE-COM-020-PE14,Identifica las características de la comunicación oral y escrita.,Reglas ortográficas,Signos de puntuación,"Signos diacríticos, de puntuación, auxiliares.",https://www.rae.es/dpd/signos%20ortogr%C3%A1ficos,Página de consulta o informativa,Ajena,"Real Academia Española (2019). Signos de Puntuación, Diccionario panhispánico de dudas, Consultado el 28 de noviembre del 2023, en: https://www.rae.es/dpd/signos%20ortográficos"
